"","Variable_Name","Variable_Description"
"47","MA__Tau2__SMD_d","meta analysis level: Tau2 for standardized mean difference as Borenstein's d"
"48","MA__Tau2__SMD_g","meta analysis level: Tau2 for standardized mean difference as Hedge's g"
"49","MA__Tau__C_M","meta analysis level: Tau for control group mean"
"50","MA__Tau__T_M","meta analysis level: Tau for treatment group mean"
"51","MA__Tau__C_SD","meta analysis level: Tau for control group standard deviation"
"52","MA__Tau__T_SD","meta analysis level: Tau for treatment group standard deviation"
"53","MA__Tau__pooled_SD","meta analysis level: Tau for pooled standard deviation"
"54","MA__Tau__MD","meta analysis level: Tau for mean difference"
"55","MA__Tau__SMD_d","meta analysis level: Tau for standardized mean difference as Borenstein's d"
"56","MA__Tau__SMD_g","meta analysis level: Tau for standardized mean difference as Hedge's g"
"57","MA__I2__T_M","meta analysis level: I2 for treatment group mean"
"58","MA__I2__C_M","meta analysis level: I2 for control group mean"
"59","MA__I2__T_SD","meta analysis level: I2 for treatment group standard deviation"
"60","MA__I2__C_SD","meta analysis level: I2 for control group standard deviation"
"61","MA__I2__MD","meta analysis level: I2 for mean difference"
"62","MA__I2__pooled_SD","meta analysis level: I2 for pooled standard deviation"
"63","MA__I2__SMD_d","meta analysis level: I2 for standardized mean difference as Borenstein's d"
"64","MA__I2__SMD_g","meta analysis level: I2 for standardized mean difference as Hedge's g"
"65","MA__H2__T_M","meta analysis level: H2 for treatment group mean"
"66","MA__H2__C_M","meta analysis level: H2 for control group mean"
"67","MA__H2__TSD","meta analysis level: H2 for TSD"
"68","MA__H2__C_SD","meta analysis level: H2 for control group standard deviation"
"69","MA__H2__MD","meta analysis level: H2 for mean difference"
"70","MA__H2__pooled_SD","meta analysis level: H2 for pooled standard deviation"
"71","MA__H2__SMD_d","meta analysis level: H2 for standardized mean difference as Borenstein's d"
"72","MA__H2__SMD_g","meta analysis level: H2 for standardized mean difference as Hedge's g"
"73","MA__QE__T_M","meta analysis level: QE for treatment group mean"
"74","MA__QE__C_M","meta analysis level: QE for control group mean"
"75","MA__QE__T_SD","meta analysis level: QE for treatment group standard deviation"
"76","MA__QE__C_SD","meta analysis level: QE for control group standard deviation"
"77","MA__QE__MD","meta analysis level: QE for mean difference"
"78","MA__QE__pooled_SD","meta analysis level: QE for pooled standard deviation"
"79","MA__QE__SMD_d","meta analysis level: QE for standardized mean difference as Borenstein's d"
"80","MA__QE__SMD_g","meta analysis level: QE for standardized mean difference as Hedge's g"
"81","MA__QEp__T_M","meta analysis level: QEp for treatment group mean"
"82","MA__QEp__C_M","meta analysis level: QEp for control group mean"
"83","MA__QEp__T_SD","meta analysis level: QEp for treatment group standard deviation"
"84","MA__QEp__C_SD","meta analysis level: QEp for control group standard deviation"
"85","MA__QEp__MD","meta analysis level: QEp for mean difference"
"86","MA__QEp__pooled_SD","meta analysis level: QEp for pooled standard deviation"
"87","MA__QEp__SMD_d","meta analysis level: QEp for standardized mean difference as Borenstein's d"
"88","MA__QEp__SMD_g","meta analysis level: QEp for standardized mean difference as Hedge's g"
"89","MA__H2__T_SD","meta analysis level: H2 for treatment group standard deviation"
"90","Lab__Empirical__N","lab level: number of participants"
"91","MA__Empirical__M_N","meta analysis level: mean of number of participants"
"92","MA__Empirical__SD_N","meta analysis level: standard deviation of number of participants"
"93","MA__Empirical__M_T_N","meta analysis level: mean of treatment group number of participants"
"94","MA__Empirical__M_C_N","meta analysis level: mean of control group number of participants"
"95","MA__Empirical__SD_T_N","meta analysis level: standard deviation of treatment group number of participants"
"96","MA__Empirical__SD_C_N","meta analysis level: standard deviation of control group number of participants"
"97","Lab__Empirical__ln_C_SD","lab level: logarithm of control group standard deviation"
"98","Lab__Empirical__ln_T_SD","lab level: logarithm of treatment group standard deviation"
"99","Lab__Empirical__SE_ln_C_SD","lab level: standard error of the logarithm of control group standard deviation"
"100","Lab__Empirical__SE_ln_T_SD","lab level: standard error of the logarithm of treatment group standard deviation"
"101","Lab__Empirical__ln_pooled_SD","lab level: logarithm of pooled standard deviation"
"102","Lab__Empirical__SE_ln_pooled_SD","lab level: standard error of the logarithm of pooled standard deviation"
"103","MA__Tau2__ln_C_SD","meta analysis level: Tau2 for logarithm of control group standard deviation"
"104","MA__SE_Tau2__ln_C_SD","meta analysis level: standard error of the Tau2 logarithm of control group standard deviation"
"105","MA__Tau2__ln_T_SD","meta analysis level: Tau2 for logarithm of treatment group standard deviation"
"106","MA__SE_Tau2__ln_T_SD","meta analysis level: standard error of the Tau2 logarithm of treatment group standard deviation"
"107","MA__Tau2__ln_pooled_SD","meta analysis level: Tau2 for logarithm of pooled standard deviation"
"108","MA__SE_Tau2__ln_pooled_SD","meta analysis level: standard error of the Tau2 logarithm of pooled standard deviation"
"109","MA__Tau__ln_C_SD","meta analysis level: Tau for logarithm of control group standard deviation"
"110","MA__Tau__ln_T_SD","meta analysis level: Tau for logarithm of treatment group standard deviation"
"111","MA__Tau__ln_pooled_SD","meta analysis level: Tau for logarithm of pooled standard deviation"
"112","MA__I2__ln_C_SD","meta analysis level: I2 for logarithm of control group standard deviation"
"113","MA__I2__ln_T_SD","meta analysis level: I2 for logarithm of treatment group standard deviation"
"114","MA__I2__ln_pooled_SD","meta analysis level: I2 for logarithm of pooled standard deviation"
"115","MA__H2__ln_C_SD","meta analysis level: H2 for logarithm of control group standard deviation"
"116","MA__H2__ln_T_SD","meta analysis level: H2 for logarithm of treatment group standard deviation"
"117","MA__H2__ln_pooled_SD","meta analysis level: H2 for logarithm of pooled standard deviation"
